NPD_WELL_BORE_NAME,NPD_WELL_BORE_CODE,Year,Month,daily_rows,flow_kinds,daily_on_stream,daily_oil,daily_gas,daily_water,daily_wi,monthly_on_stream,monthly_oil,monthly_gas,monthly_water,monthly_wi,_merge
15/9-F-1 C,7405,2014,4,24,production,227.5,11142.470000000001,1597936.65,0.0,,227.5,11142.47,1597936.65,0.0,,both
15/9-F-1 C,7405,2014,5,31,production,733.83334,24901.949999999997,3496229.6500000004,783.48,,733.83334,24901.95,3496229.65,783.48,,both
15/9-F-1 C,7405,2014,6,30,production,705.9166600000001,19617.760000000002,2886661.69,2068.48,,705.91666,19617.76,2886661.69,2068.48,,both
15/9-F-1 C,7405,2014,7,31,production,742.41666,15085.68,2249365.75,6243.9800000000005,,742.41666,15085.68,2249365.75,6243.98,,both
15/9-F-1 C,7405,2014,8,31,production,432.99166,6970.43,1048190.7999999999,4529.75,,432.99166,6970.43,1048190.8,4529.75,,both
15/9-F-1 C,7405,2014,9,30,production,630.3000000000001,9168.43,1414099.99,8317.59,,630.3,9168.43,1414099.99,8317.59,,both
15/9-F-1 C,7405,2014,10,31,production,745.0,9468.060000000001,1462063.99,10364.869999999999,,745.0,9468.06,1462063.99,10364.87,,both
15/9-F-1 C,7405,2014,11,30,production,579.775,6710.33,1044188.2999999999,7234.24,,579.775,6710.33,1044188.3,7234.24,,both
15/9-F-1 C,7405,2014,12,31,production,27.5,120.29,25857.08,183.44,,27.5,120.29,25857.08,183.44,,both
15/9-F-1 C,7405,2015,1,31,production,479.91667,10875.529999999999,1604934.6,6850.8,,479.91667,10875.53,1604934.6,6850.8,,both
15/9-F-1 C,7405,2015,2,28,production,437.41667,9586.640000000001,1439453.6700000002,10744.99,,437.41667,9586.64,1439453.67,10744.99,,both
15/9-F-1 C,7405,2015,3,31,production,320.20833,5879.220000000001,856681.4500000001,11607.44,,320.20833,5879.22,856681.45,11607.44,,both
15/9-F-1 C,7405,2015,4,30,production,262.83333,3924.1800000000003,566709.81,9815.160000000002,,262.83333,3924.18,566709.81,9815.16,,both
15/9-F-1 C,7405,2015,5,31,production,181.08333,3832.69,559060.34,6167.47,,181.08333,3832.69,559060.34,6167.47,,both
15/9-F-1 C,7405,2015,6,30,production,466.44986,6344.500000000001,925337.4799999997,14548.690000000002,,466.44986,6344.5,925337.48,14548.69,,both
