YEAR_MONTH,oil_volume,gas_volume,water_volume,on_stream_hours,producing_wells,DATE
2008-02,49091.06,7068009.29,412.61,406.62499,2,2008-02-01
2008-03,83361.26,12191170.91,27.42,655.10834,2,2008-03-01
2008-04,74532.45,11506440.74,482.05,613.64666,2,2008-04-01
2008-05,125478.56,19091871.52,16280.12,716.19167,2,2008-05-01
2008-06,143786.85,21512333.93,474.37,675.91669,2,2008-06-01
2008-07,166279.69,24655302.85,416.19,1148.31165,2,2008-07-01
2008-08,165443.66,23923540.580000002,576.71,1131.23334,2,2008-08-01
2008-09,192263.21,27526459.16,464.12,1210.68332,2,2008-09-01
2008-10,237174.29,33757700.27,725.3,1480.00001,2,2008-10-01
2008-11,250325.16999999998,35743142.27,2580.2,1430.5,2,2008-11-01
2008-12,276638.95,40062615.19,1069.85,1488.0,2,2008-12-01
2009-01,269249.82,38973679.35,1367.55,1445.99997,2,2009-01-01
2009-02,235785.99,33681428.98,2529.24,1294.72502,2,2009-02-01
2009-03,183603.15,25826010.21,1678.17,1037.13667,2,2009-03-01
2009-04,237899.74,32857763.99,1492.76,1256.80001,2,2009-04-01
2009-05,257214.05,35311402.26,6546.54,1389.83333,2,2009-05-01
2009-06,219083.74,29929356.76,8389.81,1407.21664,2,2009-06-01
2009-07,170977.07,23849827.69,10062.17,1484.33332,2,2009-07-01
2009-08,224907.77,31340971.77,25817.79,1245.89998,2,2009-08-01
2009-09,180448.69,25118054.93,17509.92,1002.32501,2,2009-09-01
2009-10,223646.97,31376279.1,32911.85,1339.16665,2,2009-10-01
2009-11,234059.18,33003467.24,50303.32,1415.00002,2,2009-11-01
2009-12,247515.87,34713770.23,73494.62,1455.16667,2,2009-12-01
2010-01,231880.08000000002,32605905.94,100234.43,1484.33332,2,2010-01-01
2010-02,165118.98,23271838.23,105215.91,1218.9,2,2010-02-01
2010-03,168560.86,23700324.16,118559.35,1301.77498,2,2010-03-01
2010-04,159289.42,22449616.35,137861.4,1385.80832,2,2010-04-01
2010-05,164922.84,23460677.21,159753.75,1473.33334,2,2010-05-01
2010-06,144927.19,20701111.07,179849.28,1434.91667,2,2010-06-01
2010-07,133639.94,19356911.12,196270.5,1484.75001,2,2010-07-01
2010-08,68531.09,9889756.53,111240.55,852.53334,2,2010-08-01
2010-09,106718.14,16010763.07,155935.62,1210.89998,2,2010-09-01
2010-10,130185.89,19595223.82,200492.01,1486.16667,2,2010-10-01
2010-11,107023.93000000001,16232426.32,199205.63,1373.75,2,2010-11-01
2010-12,109104.19,16673819.99,222976.35,1482.83333,2,2010-12-01
2011-01,106075.0,16177205.3,228053.56,1487.5,2,2011-01-01
2011-02,73223.8,11349336.66,164766.31,1118.74999,2,2011-02-01
2011-03,94105.01,14493974.18,230737.58,1462.33334,2,2011-03-01
2011-04,89633.96,13929703.75,238249.98,1435.58334,2,2011-04-01
2011-05,88326.33,13774667.97,248899.33000000002,1477.29167,2,2011-05-01
2011-06,53220.57,8247937.92,155822.21,928.44167,2,2011-06-01
2011-07,32673.73,4888317.28,73899.64,499.75502,2,2011-07-01
2011-08,86110.43,13128124.42,207939.64,1303.81832,2,2011-08-01
2011-09,81052.3,12587790.94,244429.45,1415.0,2,2011-09-01
2011-10,34454.73,5326002.63,109363.67,652.73665,2,2011-10-01
2011-11,56832.94,8623671.26,149359.32,923.64167,2,2011-11-01
2011-12,52256.6,7793463.03,139119.59,861.47167,2,2011-12-01
2012-01,45527.08,6878732.17,121376.09,763.47501,2,2012-01-01
2012-02,64159.92,9888483.76,189230.77,1381.42499,2,2012-02-01
2012-03,61425.47,9654374.59,202409.92,1481.25,2,2012-03-01
2012-04,60598.14,9539380.01,210923.66999999998,1430.29167,2,2012-04-01
2012-05,57467.11,9126346.2,223080.74,1478.77501,2,2012-05-01
2012-06,52552.93,8375057.64,214265.44,1422.50001,2,2012-06-01
2012-07,54167.64,8626031.17,224134.09,1488.0,2,2012-07-01
2012-08,21688.08,3350388.6,88043.94,577.25,2,2012-08-01
2012-09,2669.01,402901.43,7431.2699999999995,57.77499,2,2012-09-01
2012-10,53556.87,8222643.25,181378.81,1220.35,2,2012-10-01
2012-11,53950.54,8572125.07,222136.0,1440.0,2,2012-11-01
2012-12,46443.54,7572179.07,225190.89,1411.24998,2,2012-12-01
2013-01,47593.37,7715896.16,239568.36,1488.0,2,2013-01-01
2013-02,41682.91,6657580.37,218446.03,1339.91667,2,2013-02-01
2013-03,25122.33,3837458.41,127739.48,816.07,2,2013-03-01
2013-04,35226.76,5731548.81,182395.69,1070.79906,2,2013-04-01
2013-05,43974.93,7283687.29,256717.89,1465.55835,2,2013-05-01
2013-06,34197.83,5689962.72,205972.31,1196.7583300000001,2,2013-06-01
2013-07,38387.49,6063603.54,206762.03,1355.03181,3,2013-07-01
2013-08,62310.15,9485747.35,244968.09,1962.51852,3,2013-08-01
2013-09,50869.33,7816249.58,198929.07,1755.72667,3,2013-09-01
2013-10,60860.62,9313442.97,236214.72,2017.16657,3,2013-10-01
2013-11,61805.57,9370028.07,230522.28,2041.89167,3,2013-11-01
2013-12,55981.24,8622571.34,228129.84,1925.56668,3,2013-12-01
2014-01,61910.82,9207271.11,198099.49,2167.39168,4,2014-01-01
2014-02,56956.1,8534705.15,209569.51,2318.82501,4,2014-02-01
2014-03,62162.76,9348667.9,232544.58,2660.14091,4,2014-03-01
2014-04,76198.75,11256658.87,250131.56,3014.36851,5,2014-04-01
2014-05,83827.16,11826032.32,193400.42,3338.16333,5,2014-05-01
2014-06,79538.14,11707630.91,263607.72000000003,3541.91666,5,2014-06-01
2014-07,74981.25,11183245.92,265124.33,3703.99973,5,2014-07-01
2014-08,49375.58,7646877.09,220051.2,2658.58334,5,2014-08-01
2014-09,62389.42,9788352.36,263983.79,3343.925,5,2014-09-01
2014-10,64514.58,9978066.26,281164.63,3713.33333,5,2014-10-01
2014-11,52919.61,8273447.67,234876.26,3158.98348,5,2014-11-01
2014-12,18333.32,3040919.02,103517.43,1502.19154,5,2014-12-01
2015-01,81246.37,11980379.17,127532.26,3319.43332,5,2015-01-01
2015-02,66272.5,10025732.79,132024.95,2996.82999,5,2015-02-01
2015-03,81739.35,12032559.44,158014.47,3138.83333,5,2015-03-01
2015-04,90223.62,13155179.9,156084.03,3142.83333,5,2015-04-01
2015-05,87064.14,12700588.28,159023.07,3150.25,5,2015-05-01
2015-06,83847.63,12276974.83,171001.63,3332.38321,5,2015-06-01
2015-07,73995.25,10999937.32,177540.01,2890.89222,5,2015-07-01
2015-08,56296.42,8524505.93,150286.71,2322.17459,5,2015-08-01
2015-09,63097.13,9518188.48,175742.26,3260.74915,5,2015-09-01
2015-10,57680.9,8789914.7,191205.98,3218.44168,5,2015-10-01
2015-11,60469.33,9256115.09,205204.97,2850.29196,5,2015-11-01
2015-12,59816.42,9163768.01,206165.52,2950.83334,5,2015-12-01
2016-01,51576.91,8075648.69,221783.43,2947.41664,5,2016-01-01
2016-02,47367.82,7468629.01,210058.55,3265.98331,5,2016-02-01
2016-03,42802.44,6900266.92,233709.34,3131.08331,5,2016-03-01
2016-04,32310.04,5287855.05,199502.66,2976.92498,6,2016-04-01
2016-05,39030.25,6157954.41,208962.59,3631.66667,5,2016-05-01
2016-06,35659.34,5738861.41,202455.95,3461.09166,5,2016-06-01
2016-07,31059.42,4989889.87,148543.31,2551.96862,5,2016-07-01
2016-08,24954.66,3991207.77,101071.19,1637.98334,5,2016-08-01
2016-09,8609.18,1458816.35,46779.39,392.27514,5,2016-09-01
