YEAR_MONTH,oil_volume,water_volume,DATE,total_liquid_volume,water_cut_pct
2008-02,49091.06,412.61,2008-02-01,49503.67,0.8334937591495741
2008-03,83361.26,27.42,2008-03-01,83388.68,0.0328821609839609
2008-04,74532.45,482.05,2008-04-01,75014.5,0.6426090955748556
2008-05,125478.56,16280.12,2008-05-01,141758.68,11.484390232753297
2008-06,143786.85,474.37,2008-06-01,144261.22,0.32882710960020994
2008-07,166279.69,416.19,2008-07-01,166695.88,0.2496702378007183
2008-08,165443.66,576.71,2008-08-01,166020.37,0.3473730362123636
2008-09,192263.21,464.12,2008-09-01,192727.33,0.24081690956855992
2008-10,237174.29,725.3,2008-10-01,237899.59,0.3048765237468463
2008-11,250325.16999999998,2580.2,2008-11-01,252905.37,1.0202234930796448
2008-12,276638.95,1069.85,2008-12-01,277708.8,0.38524166320980824
2009-01,269249.82,1367.55,2009-01-01,270617.37,0.5053445017221179
2009-02,235785.99,2529.24,2009-02-01,238315.22999999998,1.0613001947043
2009-03,183603.15,1678.17,2009-03-01,185281.32,0.905741604172509
2009-04,237899.74,1492.76,2009-04-01,239392.5,0.6235617239470743
2009-05,257214.05,6546.54,2009-05-01,263760.58999999997,2.4820008174837644
2009-06,219083.74,8389.81,2009-06-01,227473.55,3.6882573820121065
2009-07,170977.07,10062.17,2009-07-01,181039.24000000002,5.558004993834485
2009-08,224907.77,25817.79,2009-08-01,250725.56,10.297230964405864
2009-09,180448.69,17509.92,2009-09-01,197958.61,8.845242952554578
2009-10,223646.97,32911.85,2009-10-01,256558.82,12.828188873023347
2009-11,234059.18,50303.32,2009-11-01,284362.5,17.689857136577434
2009-12,247515.87,73494.62,2009-12-01,321010.49,22.894772068040517
2010-01,231880.08000000002,100234.43,2010-01-01,332114.51,30.180683764765348
2010-02,165118.98,105215.91,2010-02-01,270334.89,38.92058106151226
2010-03,168560.86,118559.35,2010-03-01,287120.20999999996,41.2925826433465
2010-04,159289.42,137861.4,2010-04-01,297150.82,46.394420180297665
2010-05,164922.84,159753.75,2010-05-01,324676.58999999997,49.20396324231446
2010-06,144927.19,179849.28,2010-06-01,324776.47,55.376326985757316
2010-07,133639.94,196270.5,2010-07-01,329910.44,59.492054874044
2010-08,68531.09,111240.55,2010-08-01,179771.64,61.87880913808207
2010-09,106718.14,155935.62,2010-09-01,262653.76,59.36927002301432
2010-10,130185.89,200492.01,2010-10-01,330677.9,60.630604585307935
2010-11,107023.93000000001,199205.63,2010-11-01,306229.56,65.05107802133799
2010-12,109104.19,222976.35,2010-12-01,332080.54000000004,67.14526241134153
2011-01,106075.0,228053.56,2011-01-01,334128.56,68.25323761608406
2011-02,73223.8,164766.31,2011-02-01,237990.11,69.23241894379561
2011-03,94105.01,230737.58,2011-03-01,324842.58999999997,71.03058130400943
2011-04,89633.96,238249.98,2011-04-01,327883.94,72.66290017132282
2011-05,88326.33,248899.33000000002,2011-05-01,337225.66000000003,73.80794510121204
2011-06,53220.57,155822.21,2011-06-01,209042.78,74.54082365341678
2011-07,32673.73,73899.64,2011-07-01,106573.37,69.34156253105256
2011-08,86110.43,207939.64,2011-08-01,294050.07,70.71572538649626
2011-09,81052.3,244429.45,2011-09-01,325481.75,75.09774357548466
2011-10,34454.73,109363.67,2011-10-01,143818.4,76.04289159106207
2011-11,56832.94,149359.32,2011-11-01,206192.26,72.43691882517803
2011-12,52256.6,139119.59,2011-12-01,191376.19,72.69430434371172
2012-01,45527.08,121376.09,2012-01-01,166903.16999999998,72.7224593756967
2012-02,64159.92,189230.77,2012-02-01,253390.69,74.67944856221828
2012-03,61425.47,202409.92,2012-03-01,263835.39,76.71825982101946
2012-04,60598.14,210923.66999999998,2012-04-01,271521.81,77.68203592926844
2012-05,57467.11,223080.74,2012-05-01,280547.85,79.5161110662584
2012-06,52552.93,214265.44,2012-06-01,266818.37,80.30385614004012
2012-07,54167.64,224134.09,2012-07-01,278301.73,80.53636245811336
2012-08,21688.08,88043.94,2012-08-01,109732.02,80.23541351011309
2012-09,2669.01,7431.2699999999995,2012-09-01,10100.279999999999,73.57489099312099
2012-10,53556.87,181378.81,2012-10-01,234935.68,77.20360313086545
2012-11,53950.54,222136.0,2012-11-01,276086.54,80.4588300465499
2012-12,46443.54,225190.89,2012-12-01,271634.43,82.90218953466247
2013-01,47593.37,239568.36,2013-01-01,287161.73,83.42628385753214
2013-02,41682.91,218446.03,2013-02-01,260128.94,83.97605818099285
2013-03,25122.33,127739.48,2013-03-01,152861.81,83.56533263605867
2013-04,35226.76,182395.69,2013-04-01,217622.45,83.81290165605616
2013-05,43974.93,256717.89,2013-05-01,300692.82,85.37546390366089
2013-06,34197.83,205972.31,2013-06-01,240170.14,85.76099843219477
2013-07,38387.49,206762.03,2013-07-01,245149.52,84.34119308085938
2013-08,62310.15,244968.09,2013-08-01,307278.24,79.72191262225402
2013-09,50869.33,198929.07,2013-09-01,249798.40000000002,79.6358463464938
2013-10,60860.62,236214.72,2013-10-01,297075.34,79.51340558930269
2013-11,61805.57,230522.28,2013-11-01,292327.85,78.85744721209423
2013-12,55981.24,228129.84,2013-12-01,284111.08,80.29600253534637
2014-01,61910.82,198099.49,2014-01-01,260010.31,76.18909034799427
2014-02,56956.1,209569.51,2014-02-01,266525.61,78.6301586552977
2014-03,62162.76,232544.58,2014-03-01,294707.33999999997,78.90695223267939
2014-04,76198.75,250131.56,2014-04-01,326330.31,76.649809207119
2014-05,83827.16,193400.42,2014-05-01,277227.58,69.76233028474296
2014-06,79538.14,263607.72000000003,2014-06-01,343145.86000000004,76.82089476469277
2014-07,74981.25,265124.33,2014-07-01,340105.58,77.95353725157935
2014-08,49375.58,220051.2,2014-08-01,269426.78,81.67384103391652
2014-09,62389.42,263983.79,2014-09-01,326373.20999999996,80.88402537696032
2014-10,64514.58,281164.63,2014-10-01,345679.21,81.3368643141715
2014-11,52919.61,234876.26,2014-11-01,287795.87,81.61210235574264
2014-12,18333.32,103517.43,2014-12-01,121850.75,84.95428218537842
2015-01,81246.37,127532.26,2015-01-01,208778.63,61.08492042504542
2015-02,66272.5,132024.95,2015-02-01,198297.45,66.57924748906252
2015-03,81739.35,158014.47,2015-03-01,239753.82,65.90696657096015
2015-04,90223.62,156084.03,2015-04-01,246307.65,63.36954211531798
2015-05,87064.14,159023.07,2015-05-01,246087.21000000002,64.62061559395956
2015-06,83847.63,171001.63,2015-06-01,254849.26,67.09912753915785
2015-07,73995.25,177540.01,2015-07-01,251535.26,70.5825537143381
2015-08,56296.42,150286.71,2015-08-01,206583.13,72.74878156798185
2015-09,63097.13,175742.26,2015-09-01,238839.39,73.58177392765909
2015-10,57680.9,191205.98,2015-10-01,248886.88,76.82445133307148
2015-11,60469.33,205204.97,2015-11-01,265674.3,77.23930015059793
2015-12,59816.42,206165.52,2015-12-01,265981.94,77.51109718201168
2016-01,51576.91,221783.43,2016-01-01,273360.33999999997,81.13226300494067
2016-02,47367.82,210058.55,2016-02-01,257426.37,81.59946861698745
2016-03,42802.44,233709.34,2016-03-01,276511.78,84.5205726859087
2016-04,32310.04,199502.66,2016-04-01,231812.7,86.06200609371272
2016-05,39030.25,208962.59,2016-05-01,247992.84,84.26154158321668
2016-06,35659.34,202455.95,2016-06-01,238115.29,85.02433842026691
2016-07,31059.42,148543.31,2016-07-01,179602.72999999998,82.70659917029101
2016-08,24954.66,101071.19,2016-08-01,126025.85,80.1987766795463
2016-09,8609.18,46779.39,2016-09-01,55388.57,84.45675705294433
