NPD_WELL_BORE_NAME,YEAR_MONTH,oil_volume,water_volume,DATE,total_liquid_volume,water_cut_pct
15/9-F-1 C,2014-04,11142.47,0.0,2014-04-01,11142.47,0.0
15/9-F-1 C,2014-05,24901.95,783.48,2014-05-01,25685.43,3.0502895999794437
15/9-F-1 C,2014-06,19617.76,2068.48,2014-06-01,21686.239999999998,9.538214093360583
15/9-F-1 C,2014-07,15085.68,6243.98,2014-07-01,21329.66,29.273696814670274
15/9-F-1 C,2014-08,6970.43,4529.75,2014-08-01,11500.18,39.38851391891257
15/9-F-1 C,2014-09,9168.43,8317.59,2014-09-01,17486.02,47.56708501991877
15/9-F-1 C,2014-10,9468.06,10364.869999999999,2014-10-01,19832.93,52.26091152441923
15/9-F-1 C,2014-11,6710.33,7234.24,2014-11-01,13944.57,51.87854483860026
15/9-F-1 C,2014-12,120.29,183.44,2014-12-01,303.73,60.395746221973454
15/9-F-1 C,2015-01,10875.53,6850.8,2015-01-01,17726.33,38.64759372075325
15/9-F-1 C,2015-02,9586.64,10744.99,2015-02-01,20331.629999999997,52.84864027134078
15/9-F-1 C,2015-03,5879.22,11607.44,2015-03-01,17486.66,66.37882820389943
15/9-F-1 C,2015-04,3924.1800000000003,9815.16,2015-04-01,13739.34,71.43836603504971
15/9-F-1 C,2015-05,3832.69,6167.47,2015-05-01,10000.16,61.673713220588475
15/9-F-1 C,2015-06,6344.5,14548.69,2015-06-01,20893.190000000002,69.63364617849165
15/9-F-1 C,2015-07,2093.95,8454.26,2015-07-01,10548.21,80.14876457711783
15/9-F-1 C,2015-08,2871.02,5334.03,2015-08-01,8205.05,65.009110243082
15/9-F-1 C,2015-09,6460.27,14767.12,2015-09-01,21227.39,69.56634800604314
15/9-F-1 C,2015-10,4085.8,13538.71,2015-10-01,17624.51,76.81751152230616
15/9-F-1 C,2015-11,3332.05,11682.31,2015-11-01,15014.36,77.80757887782096
15/9-F-1 C,2015-12,2949.42,6231.55,2015-12-01,9180.970000000001,67.87463634016885
15/9-F-1 C,2016-01,2981.44,14036.28,2016-01-01,17017.72,82.48037927524956
15/9-F-1 C,2016-02,4718.03,15945.73,2016-02-01,20663.76,77.16761131565602
15/9-F-1 C,2016-03,2917.5,13410.89,2016-03-01,16328.39,82.13234740228522
15/9-F-1 C,2016-04,1671.69,4441.13,2016-04-01,6112.82,72.65272002120135
15/9-F-11,2013-07,3923.08,0.0,2013-07-01,3923.08,0.0
15/9-F-11,2013-08,25496.07,520.01,2013-08-01,26016.079999999998,1.9988022792057838
15/9-F-11,2013-09,23775.08,1573.61,2013-09-01,25348.690000000002,6.207855317178125
15/9-F-11,2013-10,34114.5,1926.53,2013-10-01,36041.03,5.34537997387977
15/9-F-11,2013-11,35386.35,3791.2200000000003,2013-11-01,39177.57,9.67701672155777
15/9-F-11,2013-12,33405.75,4963.26,2013-12-01,38369.01,12.935595679951085
15/9-F-11,2014-01,34552.37,4343.49,2014-01-01,38895.86,11.166972526124889
15/9-F-11,2014-02,28189.97,2841.37,2014-02-01,31031.34,9.156452799009001
15/9-F-11,2014-03,33290.79,3692.22,2014-03-01,36983.01,9.98355731456147
15/9-F-11,2014-04,35428.73,4124.45,2014-04-01,39553.18,10.427606579294004
15/9-F-11,2014-05,34831.88,5017.47,2014-05-01,39849.35,12.59109621612398
15/9-F-11,2014-06,33898.64,6083.59,2014-06-01,39982.229999999996,15.215734590091651
15/9-F-11,2014-07,33760.33,6800.85,2014-07-01,40561.18,16.766893862555282
15/9-F-11,2014-08,26037.54,6076.52,2014-08-01,32114.06,18.921681033167403
15/9-F-11,2014-09,33221.64,8349.05,2014-09-01,41570.69,20.08398224806949
15/9-F-11,2014-10,33851.72,10287.9,2014-10-01,44139.62,23.30763155641122
15/9-F-11,2014-11,26611.5,9403.58,2014-11-01,36015.08,26.11011831710495
15/9-F-11,2014-12,8547.92,3079.0499999999997,2014-12-01,11626.97,26.4819639166524
15/9-F-11,2015-01,29561.8,13860.6,2015-01-01,43422.4,31.92039131876635
15/9-F-11,2015-02,25347.22,14061.01,2015-02-01,39408.23,35.68038960389745
15/9-F-11,2015-03,44316.19,19387.3,2015-03-01,63703.490000000005,30.433654419875577
15/9-F-11,2015-04,54555.76,23839.72,2015-04-01,78395.48000000001,30.409559326634643
15/9-F-11,2015-05,55029.22,24425.53,2015-05-01,79454.75,30.741434590128343
15/9-F-11,2015-06,48231.1,22891.62,2015-06-01,71122.72,32.18608624642027
15/9-F-11,2015-07,43784.66,36195.93,2015-07-01,79980.59,45.255892710969
15/9-F-11,2015-08,31498.15,31870.44,2015-08-01,63368.59,50.29374963211269
15/9-F-11,2015-09,31424.59,37411.85,2015-09-01,68836.44,54.34890299382129
15/9-F-11,2015-10,29724.78,38022.56,2015-10-01,67747.34,56.1240633211577
15/9-F-11,2015-11,36410.23,57058.61,2015-11-01,93468.84,61.04559551610998
15/9-F-11,2015-12,35933.9,62976.28,2015-12-01,98910.18,63.67017024941215
15/9-F-11,2016-01,31603.26,67980.66,2016-01-01,99583.92,68.26469574606021
15/9-F-11,2016-02,25954.57,66610.49,2016-02-01,92565.06,71.96072686605508
15/9-F-11,2016-03,25023.66,76636.95999999999,2016-03-01,101660.62,75.38509995315786
15/9-F-11,2016-04,13429.0,57931.66,2016-04-01,71360.66,81.18150813067032
15/9-F-11,2016-05,15528.75,73445.23,2016-05-01,88973.98,82.54686370105058
15/9-F-11,2016-06,14590.61,71699.35,2016-06-01,86289.96,83.09118465230486
15/9-F-11,2016-07,14384.88,77084.72,2016-07-01,91469.6,84.27359472436744
15/9-F-11,2016-08,14583.73,87762.19,2016-08-01,102345.92,85.75055068145365
15/9-F-11,2016-09,8609.18,46779.39,2016-09-01,55388.57,84.45675705294433
15/9-F-12,2008-02,49091.06,412.61,2008-02-01,49503.67,0.8334937591495741
15/9-F-12,2008-03,83361.26,27.42,2008-03-01,83388.68,0.0328821609839609
15/9-F-12,2008-04,74532.45,482.05,2008-04-01,75014.5,0.6426090955748556
15/9-F-12,2008-05,125478.56,16280.12,2008-05-01,141758.68,11.484390232753297
15/9-F-12,2008-06,143786.85,474.37,2008-06-01,144261.22,0.32882710960020994
15/9-F-12,2008-07,114994.61,290.02,2008-07-01,115284.63,0.25156866097414715
15/9-F-12,2008-08,97822.46,354.18,2008-08-01,98176.64,0.36075791552858194
15/9-F-12,2008-09,77666.95,188.39,2008-09-01,77855.34,0.24197441049001905
15/9-F-12,2008-10,94357.23,624.05,2008-10-01,94981.28,0.6570242051907491
15/9-F-12,2008-11,145915.56,2390.31,2008-11-01,148305.87,1.6117433517634874
15/9-F-12,2008-12,166439.67,1003.31,2008-12-01,167442.98,0.5991950214932867
15/9-F-12,2009-01,153677.16,389.76,2009-01-01,154066.92,0.25298097735711206
15/9-F-12,2009-02,121905.01,0.0,2009-02-01,121905.01,0.0
15/9-F-12,2009-03,92958.71,0.0,2009-03-01,92958.71,0.0
15/9-F-12,2009-04,150955.68,1246.29,2009-04-01,152201.97,0.8188395984624903
15/9-F-12,2009-05,141039.01,3106.49,2009-05-01,144145.5,2.1551071660232193
15/9-F-12,2009-06,132429.71,2658.63,2009-06-01,135088.34,1.968067710359014
15/9-F-12,2009-07,106105.25,3289.44,2009-07-01,109394.69,3.006946680867234
15/9-F-12,2009-08,112414.27,5024.01,2009-08-01,117438.28,4.278000324936639
15/9-F-12,2009-09,90098.89,2235.08,2009-09-01,92333.97,2.4206475688200126
15/9-F-12,2009-10,126939.65,6812.79,2009-10-01,133752.44,5.09358184418916
15/9-F-12,2009-11,136015.68,11286.87,2009-11-01,147302.55,7.662372443654235
15/9-F-12,2009-12,158001.52,17321.2,2009-12-01,175322.72,9.879609442518346
15/9-F-12,2010-01,149658.83,30230.27,2010-01-01,179889.09999999998,16.8049481597273
15/9-F-12,2010-02,103026.0,43215.66,2010-02-01,146241.66,29.550854387183517
15/9-F-12,2010-03,101571.61,53998.5,2010-03-01,155570.11,34.71007380530875
15/9-F-12,2010-04,86253.61,67996.09,2010-04-01,154249.7,44.08182965671894
15/9-F-12,2010-05,77113.56,74438.31,2010-05-01,151551.87,49.117381395557835
15/9-F-12,2010-06,69617.37,83268.36,2010-06-01,152885.72999999998,54.46444216867069
15/9-F-12,2010-07,64039.69,95054.15,2010-07-01,159093.84,59.74722214260464
15/9-F-12,2010-08,30117.36,54787.65,2010-08-01,84905.01000000001,64.52817095245615
15/9-F-12,2010-09,51312.93,89428.8,2010-09-01,140741.73,63.541069162642806
15/9-F-12,2010-10,51430.58,99542.87,2010-10-01,150973.45,65.93402349883372
15/9-F-12,2010-11,44468.45,102235.65,2010-11-01,146704.09999999998,69.6883386353892
15/9-F-12,2010-12,45217.96,111335.89,2010-12-01,156553.85,71.11667327248739
15/9-F-12,2011-01,44746.55,116885.54,2011-01-01,161632.09,72.31580065567425
15/9-F-12,2011-02,29157.49,85274.18,2011-02-01,114431.67,74.5197374118546
