feature,available_observations,missing_observations,missing_pct
production_age_months,300,0,0.0
oil_volume,300,0,0.0
oil_per_on_stream_hour,296,4,1.33
water_cut_pct,296,4,1.33
gas_oil_ratio,296,4,1.33
on_stream_hours,300,0,0.0
oil_volume_lag_1,294,6,2.0
oil_volume_lag_2,288,12,4.0
oil_volume_lag_3,282,18,6.0
oil_per_on_stream_hour_lag_1,292,8,2.67
oil_per_on_stream_hour_lag_2,286,14,4.67
oil_per_on_stream_hour_lag_3,280,20,6.67
water_cut_pct_lag_1,292,8,2.67
water_cut_pct_lag_2,286,14,4.67
water_cut_pct_lag_3,280,20,6.67
gas_oil_ratio_lag_1,292,8,2.67
gas_oil_ratio_lag_2,286,14,4.67
gas_oil_ratio_lag_3,280,20,6.67
on_stream_hours_lag_1,294,6,2.0
on_stream_hours_lag_2,288,12,4.0
on_stream_hours_lag_3,282,18,6.0
oil_volume_rolling_mean_3,282,18,6.0
oil_per_on_stream_hour_rolling_mean_3,276,24,8.0
water_cut_pct_rolling_mean_3,276,24,8.0
on_stream_hours_rolling_mean_3,282,18,6.0
