feature,wells_evaluated,median_spearman,minimum_spearman,maximum_spearman,positive_relationship_wells,negative_relationship_wells,absolute_median_spearman
oil_per_on_stream_hour,5,0.7818,0.6078,0.9647,5,0,0.7818
water_cut_pct,5,-0.7783,-0.9678,-0.3597,0,5,0.7783
production_age_months,5,-0.7383,-0.9642,-0.3358,0,5,0.7383
oil_volume,5,0.672,0.4438,0.9454,5,0,0.672
oil_volume_lag_3,5,0.613,-0.0356,0.9092,4,1,0.613
gas_oil_ratio,5,-0.5872,-0.6613,-0.3073,0,5,0.5872
oil_volume_lag_2,5,0.5212,0.0873,0.9201,5,0,0.5212
oil_volume_recent_mean_3,5,0.511,0.3546,0.9514,5,0,0.511
oil_volume_rolling_mean_3,5,0.5013,0.258,0.9435,5,0,0.5013
oil_volume_lag_1,5,0.3957,0.3259,0.9096,5,0,0.3957
on_stream_hours,5,-0.004,-0.1411,0.1557,2,3,0.004
