NPD_WELL_BORE_NAME,DATE,oil_volume,target_next_month_oil_volume,ridge_prediction,persistence_prediction,ridge_absolute_error,persistence_absolute_error
15/9-F-14,2016-08-01,0.0,0.0,21111.810402751737,0.0,21111.810402751737,0.0
15/9-F-15 D,2016-08-01,0.0,0.0,10798.546118080525,0.0,10798.546118080525,0.0
15/9-F-11,2015-10-01,29724.78,36410.23,26322.47339105775,29724.78,10087.756608942254,6685.450000000004
15/9-F-11,2015-04-01,54555.76,55029.22,46001.82430625928,54555.76,9027.39569374072,473.4599999999991
15/9-F-11,2016-07-01,14384.88,14583.73,6107.761974667483,14384.88,8475.968025332517,198.85000000000036
15/9-F-11,2016-06-01,14590.61,14384.88,6978.670715981156,14590.61,7406.209284018843,205.73000000000138
15/9-F-1 C,2016-01-01,2981.44,4718.03,-1960.0653484499198,2981.44,6678.09534844992,1736.5899999999997
15/9-F-11,2015-11-01,36410.23,35933.9,29265.866614766146,36410.23,6668.033385233855,476.33000000000175
15/9-F-11,2016-05-01,15528.75,14590.61,7951.934915494217,15528.75,6638.675084505783,938.1399999999994
15/9-F-15 D,2016-03-01,3747.55,4544.16,-1705.4979156237314,3747.55,6249.657915623731,796.6099999999997
15/9-F-11,2016-04-01,13429.0,15528.75,9452.79112790705,13429.0,6075.95887209295,2099.75
15/9-F-11,2016-02-01,25954.57,25023.66,19147.78436217478,25954.57,5875.875637825218,930.9099999999999
