NPD_WELL_BORE_NAME,DATE,production_age_months,oil_volume,on_stream_hours,oil_per_on_stream_hour,water_cut_pct,gas_oil_ratio,oil_volume_lag_1,oil_volume_lag_2,oil_volume_lag_3,oil_volume_recent_mean_3,target_next_month_oil_volume,is_latest_available_origin
15/9-F-1 C,2014-04-01,0,11142.47,227.5,48.9778901098901,0.0,143.4095537165458,,,,,24901.95,False
15/9-F-1 C,2014-05-01,1,24901.95,733.83334,33.93406737284518,3.050289599979444,140.39983414953446,11142.47,,,,19617.76,False
15/9-F-1 C,2014-06-01,2,19617.76,705.91666,27.79047600321545,9.538214093360583,147.14532596993746,24901.95,11142.47,,18554.06,15085.68,False
15/9-F-1 C,2014-07-01,3,15085.68,742.41666,20.31969487322658,29.273696814670277,149.1060230629312,19617.76,24901.95,11142.47,19868.463333333333,6970.43,False
15/9-F-1 C,2014-08-01,4,6970.43,432.99166,16.098300831013695,39.38851391891257,150.37677732937567,15085.68,19617.76,24901.95,13891.29,9168.43,False
15/9-F-1 C,2014-09-01,5,9168.43,630.3,14.546136760272889,47.56708501991877,154.2357840982589,6970.43,15085.68,19617.76,10408.180000000002,9468.06,False
15/9-F-1 C,2014-10-01,6,9468.06,745.0,12.708805369127516,52.26091152441923,154.42065111543442,9168.43,6970.43,15085.68,8535.640000000001,6710.33,False
15/9-F-1 C,2014-11-01,7,6710.33,579.775,11.574024406019577,51.87854483860026,155.60908330886855,9468.06,9168.43,6970.43,8448.94,120.29,False
15/9-F-1 C,2014-12-01,8,120.29,27.5,4.374181818181818,60.395746221973454,214.95618920941055,6710.33,9468.06,9168.43,5432.893333333334,10875.53,False
15/9-F-1 C,2015-01-01,9,10875.53,479.91667,22.661288260730764,38.64759372075325,147.5730010399493,120.29,6710.33,9468.06,5902.050000000002,9586.64,False
15/9-F-1 C,2015-02-01,10,9586.64,437.41667,21.916494403379733,52.84864027134078,150.15205223102151,10875.53,120.29,6710.33,6860.820000000002,5879.22,False
15/9-F-1 C,2015-03-01,11,5879.22,320.20833,18.360609169661515,66.37882820389943,145.71345348532628,9586.64,10875.53,120.29,8780.463333333335,3924.18,False
15/9-F-1 C,2015-04-01,12,3924.18,262.83333,14.930298223592876,71.43836603504971,144.41483571090012,5879.22,9586.64,10875.53,6463.346666666668,3832.69,False
15/9-F-1 C,2015-05-01,13,3832.69,181.08333,21.16533863166753,61.67371322058848,145.866307997777,3924.18,5879.22,9586.64,4545.363333333335,6344.5,False
15/9-F-1 C,2015-06-01,14,6344.5,466.44986,13.601676287350584,69.63364617849165,145.84876349594137,3832.69,3924.18,5879.22,4700.456666666668,2093.95,False
